Node# CityName Population Elevation
1 WestBernitaside 48160398 2734.0
2 Lemkebury 11320567 3465.0
3 SouthSienna 13308569 3578.0
4 Brennashire 49447237 3081.0
5 Cathrynborough 48861791 410.0
6 LakeHarley 12039108 2492.0
7 SouthGodfreyberg 30870837 525.0
8 SouthJessieborough 48326660 2707.0
9 WestArianetown 14796598 3646.0
10 WestAnnamaemouth 7231443 1778.0
11 Cormierstad 17506664 -94.0
12 Boyleborough 36120968 2629.0
13 O'Connellton 35038707 3362.0
14 SouthAlisaside 132796 3473.0
15 LakeJoanny 25233508 2148.0
16 Howellland 41356566 2291.0
17 NorthMurl 27265315 2279.0
18 Reichelchester 40600577 3271.0
19 Osvaldoburgh 19233306 3645.0
20 SouthGunnerport 13337986 2816.0
21 NorthAfton 21865336 1426.0
22 NewJessiebury 27004611 3115.0
23 LakeFaye 1447960 3787.0
24 Jaskolskistad 4173479 162.0
25 NorthNealchester 32997757 640.0
26 LakeBradchester 46403063 2639.0
27 SouthDewittville 49862785 -46.0
28 EastBranson 43017826 917.0
29 NorthSabrina 3827463 972.0
30 Dariusview 13524033 3666.0
31 Ebertmouth 34336770 107.0
32 Hayesborough 15672931 1910.0
33 Jonathonmouth 42112344 738.0
34 Smithton 19660650 2624.0
35 Cassinburgh 34491817 1853.0
36 SouthJillian 19318797 712.0
37 EastTomas 11008616 2728.0
38 Welchfort 37102341 787.0
39 Sipesborough 31457386 642.0
40 NorthLucilemouth 224832 2457.0
41 LakeSolon 15363024 2488.0
42 Spencerfurt 13434315 3280.0
43 SouthBuck 27501600 605.0
44 EastQuinten 5096286 3142.0
45 NewJuliusville 30668162 993.0
46 PortMiracle 17639615 1155.0
47 WestFay 14205935 273.0
48 PortCloydside 2588054 -78.0
49 O'Reillychester 36885543 3505.0
50 WestBenton 28478126 2349.0
51 EastGunnarport 16292698 2934.0
52 WestUniquemouth 42546804 2283.0
53 Jeanmouth 3076350 2462.0
54 Lulaberg 38114054 2181.0
55 Littleberg 28967769 2378.0
56 LakeBradleystad 43507608 1174.0
57 EastMagaliborough 18799698 2763.0
58 NorthDevonteville 30518462 1308.0
59 PortRuth 3755205 2591.0
60 Ornport 9825243 363.0
61 PortOkeyton 41724072 3217.0
62 Ryleyshire 33569494 -7.0
63 Justinaville 14392651 1378.0
64 LakeKayley 36281820 2060.0
65 Dakotaborough 47554309 1182.0
66 Carsonfurt 16689246 3182.0
67 Larsonchester 6552174 737.0
68 SouthAgnes 33234476 3864.0
69 Anniemouth 34377950 -8.0
70 Reneeberg 26612903 2506.0
71 Jeaniefort 10910594 2351.0
72 Leopoldtown 37482848 1050.0
73 Cruickshankview 14077640 3529.0
